reference_model,comparison_model,frame,elapsed_seconds,timestamp_utc,position_delta_x_m,position_delta_y_m,position_delta_z_m,position_difference_m,velocity_delta_x_mm_s,velocity_delta_y_mm_s,velocity_delta_z_mm_s,velocity_difference_mm_s
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,0.0,2026-05-09T21:08:00Z,-9.094947017729282e-10,0.0,0.0,9.094947017729282e-10,-4.440892098500626e-10,0.0,0.0,4.440892098500626e-10
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,60.0,2026-05-09T21:09:00Z,-9.412360668648034e-06,-6.140226105344482e-05,-1.817261363612488e-05,6.472305680512912e-05,-0.00028328006607125644,-0.002030409618214435,-0.0005695639515579387,0.002127725054720491
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,120.0,2026-05-09T21:10:00Z,0.0011907704902114347,0.0022399754016078077,-0.002381285412411671,0.0034793597651767865,-0.0033043914271502217,-0.004773847095407291,-0.003325624220451573,0.0066909188643867615
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,180.0,2026-05-09T21:11:00Z,-5.2771611080970615e-05,-0.0005313725068845088,-0.00012868895282736048,0.0005492744583435599,-0.00033074254446319173,-0.00569942226746889,-0.001174522701319347,0.0058285768751516615
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,240.0,2026-05-09T21:12:00Z,0.0007953622116474435,0.0014398465282283723,-0.002785467131616315,0.0032349012680270212,-0.0031843396808284297,-0.008436972009917554,-0.0033379201624939014,0.009615832096610988
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,300.0,2026-05-09T21:13:00Z,-6.663958629360422e-05,-0.001400243036187021,-0.00028397244022926316,0.001430301276536308,0.0001716156106112976,-0.00864762839114519,-0.0013761711770143847,0.008758126273215691
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,360.0,2026-05-09T21:14:00Z,-4.5320120989345014e-05,-0.001955031621037051,-0.00036824485505349003,0.0019899263368010926,0.0005474574127362075,-0.0098097601153313,-0.00143331924107315,0.009929023475948434
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,420.0,2026-05-09T21:15:00Z,-3.774403012357652e-07,-0.002573161509644706,-0.00045635579226654954,0.0026133160747053605,0.0009516554211330686,-0.010759555024719702,-0.0015093872818283671,0.010906508255949207
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,480.0,2026-05-09T21:16:00Z,6.854043022030964e-05,-0.0032420748539152555,-0.0005503079592017457,0.003289161899165987,0.001338891192359526,-0.011504471153500617,-0.001631980772742736,0.011696531425568339
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,540.0,2026-05-09T21:17:00Z,0.0002358819983783178,-0.005849810349900508,0.0023941749986988725,0.00632518737835938,0.004820221860546425,-0.010175178033478005,-0.0007751959074653314,0.01128581922116485
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,600.0,2026-05-09T21:18:00Z,0.00024090877559501678,-0.0050335497689957265,-0.0002617043719510548,0.005046102406156054,0.002420784017687083,-0.012152847617130647,-0.0018588730554824906,0.012530255763626139
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,660.0,2026-05-09T21:19:00Z,0.0005946430974290706,-0.006110790764068952,0.00040379518395639025,0.006152919203608708,0.003217113131448457,-0.01180417097401687,-0.002204405546990529,0.012431720440066333
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,720.0,2026-05-09T21:20:00Z,0.0011745805750251748,-0.007912829460110515,0.0024414332528976956,0.008363797338552265,0.005189068064126445,-0.01039993602347522,-0.0023714026298193858,0.011862067572696963
gmat_j2,numerical_j2_iau1976_1980,EarthMJ2000Eq,780.0,2026-05-09T21:21:00Z,0.0006231957740965299,-0.0070285104811773635,-0.0011340907803969458,0.007146642180426635,0.0015433880840021175,-0.012827831685768842,-0.0033058880077874164,0.013336574074937216
