case_id,duration_hours,maximum_two_body_position_difference_m,maximum_two_body_velocity_difference_mm_s,maximum_j2_two_body_position_difference_km,analytical_raan_rate_deg_day,fitted_raan_rate_deg_day,raan_rate_relative_difference,maximum_drag_j2_position_difference_km,final_drag_semi_major_axis_difference_vs_j2_m,drag_total_specific_energy_loss_km2_s2
CASE-LEO400,6,3.146920668059717e-07,3.3965313390970675e-07,190.9002375445357,-5.002333049190539,-5.0347729436331115,0.006484952945670375,1.0698036150098762,-57.65816471466678,0.0002528377583850272
CASE-LEO400,24,9.320342886962256e-07,1.0253840025618877e-06,737.2141335089633,-5.002333049190539,-5.015225333995204,0.002577254388679885,17.119175516301674,-260.2671892345825,0.0010134902687148895
CASE-LEO400,72,3.144912809674591e-05,3.550759537703112e-05,2217.995940183326,-5.002333049190539,-5.015198038307493,0.0025717977972369702,154.58541080053303,-482.8752698704193,0.0030542204542420848
CASE-LEO400,168,0.00025289987265751434,0.0002864378861991347,5055.983322131415,-5.002333049190539,-5.015201935289936,0.0025725768302211857,845.7589148058865,-3059.838498163117,0.007185824689603493
CASE-SSO700,6,7.830772344892827e-07,8.24383650379684e-07,59.127615241485536,0.9856473320990844,0.9862786838330845,0.0006405452675000219,0.007183219382802733,-0.4225813245284371,1.657253758224897e-06
CASE-SSO700,24,5.103168451346724e-06,5.3912964333686665e-06,219.39477455618632,0.9856473320990844,0.9874323127273377,0.0018109729211683596,0.1150950317296099,-1.947759480572131,6.667002761417962e-06
CASE-SSO700,72,4.1882131228859305e-05,4.4384175892743927e-05,642.8757050288987,0.9856473320990844,0.9874142914859529,0.0017926892604736549,1.0369341065300295,-3.2351840745832305,2.002203496687116e-05
CASE-SSO700,168,0.0002392834062835549,0.00025390002431193874,1487.4198784649095,0.9856473320990844,0.9874196044321376,0.0017980795720096306,5.646116288800291,-26.14010397792299,4.6751965296465414e-05
