case_id,duration_hours,model,maximum_separation_from_sgp4_km,final_separation_from_sgp4_km,model_pass_count,matched_pass_count,maximum_absolute_aos_difference_seconds,maximum_absolute_los_difference_seconds
CASE-ISS-TLE,6,analytical_two_body,275.7627292317512,275.7627292317512,0,0,,
CASE-ISS-TLE,6,numerical_j2,0.621443432725729,0.428367005673951,0,0,,
CASE-ISS-TLE,6,numerical_j2_drag,0.5662141905284184,0.35276284309275474,0,0,,
CASE-ISS-TLE,6,numerical_two_body,275.7627292314093,275.7627292314093,0,0,,
CASE-ISS-TLE,24,analytical_two_body,1117.3848086052765,1117.3848086052765,5,4,104.43858581624227,121.53053093327617
CASE-ISS-TLE,24,numerical_j2,4.122768211631787,3.361775868617387,4,4,0.44196347016259097,0.3272727707444574
CASE-ISS-TLE,24,numerical_j2_drag,2.8697448632448186,1.9980884583683296,4,4,0.32925873398198746,0.22340727888513356
CASE-ISS-TLE,24,numerical_two_body,1117.3848086000096,1117.3848086000096,5,4,104.43858581573295,121.5305309327523
CASE-ISS-TLE,72,analytical_two_body,3303.3606312116967,3303.3606312116967,14,12,410.5469231316529,445.8698901414755
CASE-ISS-TLE,72,numerical_j2,22.735795023912157,20.679847843262465,13,13,3.1429414905724116,2.4745513960369863
CASE-ISS-TLE,72,numerical_j2_drag,10.717001584867809,8.292852690052381,13,13,1.6846309177053627,1.127065077482257
CASE-ISS-TLE,72,numerical_two_body,3303.360631164422,3303.360631164422,14,12,410.5469231265015,445.86989013513085
