case_id,factor,epoch_utc,altitude_km,inclination_deg,duration_hours,model_id,role,eligible_candidate,maximum_position_difference_m,maximum_velocity_difference_mm_s,final_position_difference_m,final_velocity_difference_mm_s,maximum_radial_position_difference_m,maximum_along_track_position_difference_m,maximum_cross_track_position_difference_m,maximum_radial_velocity_difference_mm_s,maximum_along_track_velocity_difference_mm_s,maximum_cross_track_velocity_difference_mm_s,position_gate_m,velocity_gate_mm_s,position_gate_passed,velocity_gate_passed,pole_separation_from_baseline_start_arcsec,pole_separation_from_baseline_end_arcsec,runtime_seconds
B01_CONTROL_400KM_I51P6_JAN_24H,baseline_control,2026-01-01T00:00:00Z,400.0,51.6,24.0,j2000_fixed,ablation_static_axis,False,3110.258513744853,3597.719808460301,3104.907180949258,3440.5753159677847,41.00936401948062,2895.832153434224,1414.8791655249697,3274.4506165725666,40.489830459199,1628.4085271671909,20.0,20.0,False,False,523.3314053307266,523.470393520958,2.761594299983699
B01_CONTROL_400KM_I51P6_JAN_24H,baseline_control,2026-01-01T00:00:00Z,400.0,51.6,24.0,iau1976_precession,ablation_precession_without_nutation,False,112.9489450884862,126.24101443376755,112.9489450884862,126.24101443376755,1.259726820142677,111.99649906790597,14.599338914969648,126.23237530052705,1.313572296007012,16.416118022119477,20.0,20.0,False,False,8.342189630767091,8.339046552152881,34.2988777999999
B01_CONTROL_400KM_I51P6_JAN_24H,baseline_control,2026-01-01T00:00:00Z,400.0,51.6,24.0,iau1976_1980,closed_1b_validation_baseline,False,3.202700372067483,3.6150290638267655,3.202700372067483,3.6150290638267655,0.06983550352068871,3.202368423927341,0.19373649605577253,3.6147327955756574,0.06279629546331306,0.2250157145719808,20.0,20.0,True,True,0.0,0.0,31.10143560002325
B01_CONTROL_400KM_I51P6_JAN_24H,baseline_control,2026-01-01T00:00:00Z,400.0,51.6,24.0,iau2000a,exploratory_modern_orientation_candidate,True,2.9639809956758185,3.3392011248173152,2.8648605220333154,3.2328650776535106,0.06564526517567973,2.956121280441257,0.28642422221850256,3.3335318494763073,0.05855675489817596,0.3284890132967297,20.0,20.0,True,True,0.04661322636196498,0.04661322636196498,34.14874370000325
B01_CONTROL_400KM_I51P6_JAN_24H,baseline_control,2026-01-01T00:00:00Z,400.0,51.6,24.0,iau2006_2000a,exploratory_modern_orientation_candidate,True,2.9625519402081517,3.3375884819737798,2.8623510719245537,3.2300230800612426,0.0656167646247827,2.954674026321401,0.286755809583403,3.331897207062546,0.05852683296591567,0.3288469344291911,20.0,20.0,True,True,0.04681545389005153,0.04681545389005153,31.663099900004454
B02_ALTITUDE_700KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,700.0,51.6,24.0,j2000_fixed,ablation_static_axis,False,2830.229895237381,3023.5525967608937,2830.229895237381,2867.3869057527363,39.28269942486933,2610.615188288533,1262.3377984186795,2765.90132956954,36.32871416852728,1362.8723086148975,20.0,20.0,False,False,523.3314053307266,523.470393520958,3.468007299990859
B02_ALTITUDE_700KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,700.0,51.6,24.0,iau1976_precession,ablation_precession_without_nutation,False,101.59136043294829,106.32876078524758,101.59136043294829,106.32876078524758,1.2034247606120072,100.72361849965611,13.229541552358274,106.32094833446874,1.1787505342945384,13.883594800182644,20.0,20.0,False,False,8.342189630767091,8.339046552152881,29.87118149996968
B02_ALTITUDE_700KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,700.0,51.6,24.0,iau1976_1980,closed_1b_validation_baseline,False,2.874891553468263,3.039738075504552,2.874891553468263,3.039738075504552,0.06709273064514225,2.8745868531573078,0.17447705690953885,3.039482295341191,0.05649979827603964,0.18984332214982075,20.0,20.0,True,True,0.0,0.0,31.96545130002778
B02_ALTITUDE_700KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,700.0,51.6,24.0,iau2000a,exploratory_modern_orientation_candidate,True,2.6664689232344196,2.8101400214743393,2.5708745152941046,2.7168960967011544,0.06307893317910539,2.657818741763601,0.2573967711228749,2.8051376306051683,0.05274525246011982,0.2772128292661455,20.0,20.0,True,True,0.04661322636196498,0.04661322636196498,37.27862319996348
B02_ALTITUDE_700KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,700.0,51.6,24.0,iau2006_2000a,exploratory_modern_orientation_candidate,True,2.6651113686870906,2.8088521694468738,2.5686208940361386,2.714500755469148,0.06305153326307053,2.6564431061116887,0.2577027652164545,2.803833629471273,0.05271889671140841,0.27752623768557744,20.0,20.0,True,True,0.04681545389005153,0.04681545389005153,34.054673499951605
