model,epoch_utc,frame,elapsed_seconds,timestamp_utc,position_x_km,position_y_km,position_z_km,velocity_x_km_s,velocity_y_km_s,velocity_z_km_s,position_magnitude_km,velocity_magnitude_km_s
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,0.0,2026-08-04T18:52:00Z,-3065.082388116593,-2145.8061942530817,6464.810856862645,-3.8545264395231307,6.265296487411957,0.1335545961411192,7469.470776718156,7.357251591342374
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,60.0,2026-08-04T18:53:00Z,-3290.959028211931,-1766.419422981758,6461.693446314771,-3.672466431332152,6.377352257552301,-0.23758612829602727,7463.520020566977,7.36302102907004
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,120.0,2026-08-04T18:54:00Z,-3505.516984346503,-1380.9579507254014,6436.299685507655,-3.477339521553181,6.467709322490405,-0.6087682412326796,7457.992211773852,7.368429466305457
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,180.0,2026-08-04T18:55:00Z,-3707.9912578543876,-990.7367863287838,6388.667187529898,-3.2697887749945775,6.535945056854549,-0.9786536300320535,7452.907283814205,7.3734564043518205
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,240.0,2026-08-04T18:56:00Z,-3897.657072620336,-597.093818220126,6318.914075428379,-3.050511526081042,6.581719942702162,-1.345897726942069,7448.283478503681,7.37808231631394
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,300.0,2026-08-04T18:57:00Z,-4073.833064212492,-201.38474008713956,6227.239190288043,-2.82025708401953,6.604780433742963,-1.7091555146149933,7444.137262414643,7.382288748826821
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,360.0,2026-08-04T18:58:00Z,-4235.884320534653,195.02218320964036,6113.921933715213,-2.5798240786443603,6.604961410228556,-2.067087700904935,7440.483253153598,7.386058425885492
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,420.0,2026-08-04T18:59:00Z,-4383.225252541669,590.7514838069698,5979.321735731433,-2.330057451015853,6.5821881875022985,-2.4183670234601027,7437.33415610254,7.389375353904318
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,480.0,2026-08-04T19:00:00Z,-4515.322273925607,984.4259652544777,5823.877141577146,-2.07184509688586,6.536478043381226,-2.7616846405463336,7434.700712110792,7.392224926970525
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,540.0,2026-08-04T19:01:00Z,-4631.696269295842,1374.672253332317,5648.104513654919,-1.8061141754796206,6.4679412324822145,-3.095756560703646,7432.591656499087,7.3945940311048615
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,600.0,2026-08-04T19:02:00Z,-4731.924831259346,1760.1263916224789,5452.596347791801,-1.533827100614196,6.376781459349871,-3.4193300603798407,7431.013689607042,7.396471146209119
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,660.0,2026-08-04T19:03:00Z,-4815.644247969817,2139.439448629769,5238.019206142899,-1.255977235896376,6.263295786811964,-3.731190035744379,7429.971458981516,7.397846444271775
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,720.0,2026-08-04T19:04:00Z,-4882.551224162069,2511.283101991376,5005.111272358161,-0.9735843205153902,6.127873961368475,-4.0301652326041015,7429.467553169653,7.3987118823253315
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,780.0,2026-08-04T19:05:00Z,-4932.404320420788,2874.355164403163,4754.679538047955,-0.6876896568490196,5.9709971435685985,-4.315134296857575,7429.502506949487,7.399061288606684
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,840.0,2026-08-04T19:06:00Z,-4965.025097442303,3227.385015369913,4487.596633058537,-0.3993510956039964,5.79323603816696,-4.585031587361844,7430.074817705709,7.398890440368907
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,900.0,2026-08-04T19:07:00Z,-4980.298954318166,3569.138902794125,4204.797315547604,-0.10963785837334042,5.595248426261394,-4.838852693549235,7431.180972541134,7.398197131831375
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,960.0,2026-08-04T19:08:00Z,-4978.175652375457,3898.4250787834217,3907.27464126841,0.18037475882690907,5.377776109451814,-5.075659601699665,7432.815485607759,7.396981230835898
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,1020.0,2026-08-04T19:09:00Z,-4958.669518817764,4214.098734900875,3596.0758347609944,0.4696107544174328,5.141641284145394,-5.294585456489061,7434.970945047299,7.3952447228985125
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,1080.0,2026-08-04T19:10:00Z,-4921.85932728174,4515.066703414327,3272.297888241487,0.7569988135687589,4.887742372266818,-5.494838868301671,7437.638068850935,7.392991741507341
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,1140.0,2026-08-04T19:11:00Z,-4867.887855409402,4800.291892916675,2937.082916807149,1.0414776735541609,4.617049342597196,-5.675707721775974,7440.805768883119,7.390228583712171
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,1200.0,2026-08-04T19:12:00Z,-4796.961122582088,5068.79742897222,2591.613301071047,1.3220014111880574,4.3305985645386995,-5.836562447071305,7444.461222265031,7.386963710275748
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,1260.0,2026-08-04T19:13:00Z,-4709.34731401108,5319.670473164435,2237.1066504472087,1.5975446018366062,4.02948724306464,-5.976858722274908,7448.589949280067,7.383207729903826
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,1320.0,2026-08-04T19:14:00Z,-4605.375400372382,5552.065697035109,1874.810621974625,1.8671073009290076,3.714867489760406,-6.096139583059719,7453.175896946073,7.378973367332931
numerical_j2_gmat_r2026a_eop_full,2026-08-04T18:52:00Z,EarthMJ2000Eq,1380.0,2026-08-04T19:15:00Z,-4485.433465049493,5765.208390858828,1505.9976307563022,2.12971980132508,3.387940090006422,-6.194036923963812,7458.201527396437,7.37427541532427
