case_id,factor,epoch_utc,altitude_km,inclination_deg,duration_hours,model_id,role,eligible_candidate,maximum_position_difference_m,maximum_velocity_difference_mm_s,final_position_difference_m,final_velocity_difference_mm_s,maximum_radial_position_difference_m,maximum_along_track_position_difference_m,maximum_cross_track_position_difference_m,maximum_radial_velocity_difference_mm_s,maximum_along_track_velocity_difference_mm_s,maximum_cross_track_velocity_difference_mm_s,position_gate_m,velocity_gate_mm_s,position_gate_passed,velocity_gate_passed,pole_separation_from_baseline_start_arcsec,pole_separation_from_baseline_end_arcsec,runtime_seconds
B01_CONTROL_400KM_I51P6_JAN_24H,baseline_control,2026-01-01T00:00:00Z,400.0,51.6,24.0,j2000_fixed,ablation_static_axis,False,3110.2585170978373,3597.719812304789,3104.907184488789,3440.575320079495,41.00936401886897,2895.8321572278264,1414.8791655200332,3274.4506208985313,40.489830452827015,1628.4085271635317,20.0,20.0,False,False,523.3314053307266,523.470393520958,0.5591473119998227
B01_CONTROL_400KM_I51P6_JAN_24H,baseline_control,2026-01-01T00:00:00Z,400.0,51.6,24.0,iau1976_precession,ablation_precession_without_nutation,False,112.94894494570786,126.24101425195414,112.94894494570786,126.24101425195414,1.2597268740194167,111.99649891996685,14.599338942816164,126.23237511842215,1.313572313787564,16.41611804969601,20.0,20.0,False,False,8.342189630767091,8.339046552152881,7.5939852839997
B01_CONTROL_400KM_I51P6_JAN_24H,baseline_control,2026-01-01T00:00:00Z,400.0,51.6,24.0,iau1976_1980,closed_1b_validation_baseline,False,3.2027017567705216,3.6150306093329787,3.2027017567705216,3.6150306093329787,0.06983547532020407,3.2023698088486543,0.1937364874821188,3.614734341508551,0.06279628925288372,0.22501570631882528,20.0,20.0,True,True,0.0,0.0,7.647324572000343
B01_CONTROL_400KM_I51P6_JAN_24H,baseline_control,2026-01-01T00:00:00Z,400.0,51.6,24.0,iau2000a,exploratory_modern_orientation_candidate,True,2.963981821870479,3.3392020467662484,2.8648633287312126,3.232868196337871,0.0656452926111756,2.956122109263151,0.28642421546727764,3.333532772809265,0.05855676274405919,0.3284890046927847,20.0,20.0,True,True,0.04661322636196498,0.046511782876405734,8.623596177999843
B01_CONTROL_400KM_I51P6_JAN_24H,baseline_control,2026-01-01T00:00:00Z,400.0,51.6,24.0,iau2006_2000a,exploratory_modern_orientation_candidate,True,2.9625531406040384,3.33758981609538,2.8623506956194262,3.230022624551732,0.06561678039098096,2.954675230382001,0.28675581113465465,3.3318985515929196,0.058526828141703416,0.32884693258541475,20.0,20.0,True,True,0.04681545389005153,0.04681545389005153,8.761231189000227
B02_ALTITUDE_700KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,700.0,51.6,24.0,j2000_fixed,ablation_static_axis,False,2830.229898346666,3023.5525999055963,2830.229898346666,2867.3869091732086,39.28269942199048,2610.6151916573767,1262.3377984269505,2765.9013331147253,36.328714164130474,1362.8723086233606,20.0,20.0,False,False,523.3314053307266,523.470393520958,0.5638207580000199
B02_ALTITUDE_700KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,700.0,51.6,24.0,iau1976_precession,ablation_precession_without_nutation,False,101.59136248499932,106.32876302147629,101.59136248499932,106.32876302147629,1.2034247744513813,100.72362057029679,13.229541544517044,106.32095057074953,1.178750538446125,13.88359479469872,20.0,20.0,False,False,8.342189630767091,8.339046552152881,7.5360516739997365
B02_ALTITUDE_700KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,700.0,51.6,24.0,iau1976_1980,closed_1b_validation_baseline,False,2.8748911226675053,3.0397376469214334,2.8748911226675053,3.0397376469214334,0.06709267839287306,2.874586422199983,0.1744770590516204,3.0394818666031718,0.056499760051581714,0.18984332630772421,20.0,20.0,True,True,0.0,0.0,8.41380266599981
B02_ALTITUDE_700KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,700.0,51.6,24.0,iau2000a,exploratory_modern_orientation_candidate,True,2.6664695738165354,2.810140429712353,2.570876857622699,2.7168986197403933,0.06307892123516383,2.657819394831823,0.257396785283169,2.805138022024129,0.05274525184104985,0.27721284625796694,20.0,20.0,True,True,0.04661322636196498,0.046511782876405734,8.171920063000016
B02_ALTITUDE_700KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,700.0,51.6,24.0,iau2006_2000a,exploratory_modern_orientation_candidate,True,2.665110615178274,2.8088514889482328,2.5686188362152684,2.714498525789658,0.06305153659622757,2.6564423707722105,0.25770275770075984,2.803832953323174,0.052718900478745785,0.27752623163154805,20.0,20.0,True,True,0.04681545389005153,0.04681545389005153,8.469371387000137
B03_ALTITUDE_1000KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,1000.0,51.6,24.0,j2000_fixed,ablation_static_axis,False,2639.1148115169985,2539.6789539782026,2636.4102823063085,2361.0721852498805,37.68868928208125,2371.059552280394,1166.1002938810332,2353.955811924374,32.73143159954745,1140.8449906772637,20.0,20.0,False,False,523.3314053307266,523.470393520958,0.5640017099999568
B03_ALTITUDE_1000KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,1000.0,51.6,24.0,iau1976_precession,ablation_precession_without_nutation,False,91.61442882845617,90.89260151165384,91.61442882845617,90.89260151165384,1.1523343824322332,91.22453044250457,11.918616801300695,90.48692043808435,1.0623366216220878,11.732079468326846,20.0,20.0,False,False,8.342189630767091,8.339046552152881,7.2155447000000095
B03_ALTITUDE_1000KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,1000.0,51.6,24.0,iau1976_1980,closed_1b_validation_baseline,False,2.615243121832473,2.5944826733061426,2.615243121832473,2.5944826733061426,0.06424718208530947,2.615064394848047,0.1574389148265254,2.5944383502418455,0.05100421743463895,0.16110456581427848,20.0,20.0,True,True,0.0,0.0,7.6847733760000665
