model_id,degree,order,status,sample_count,initial_position_difference_m,initial_velocity_difference_mm_s,maximum_position_difference_m,maximum_velocity_difference_mm_s,final_position_difference_m,final_velocity_difference_mm_s,python_runtime_seconds,python_function_evaluations
G20,2,0,passed,181,6.431098710768743e-10,0.0,0.004385537727484636,0.004964144399675215,0.004039271549941358,0.00457271056458636,2.3500064000254497,2741
G44,4,4,passed,181,6.431098710768743e-10,0.0,0.004811435353626179,0.005445707358420124,0.00023293345587415077,0.00026423674580335283,2.803712699969765,2741
G88,8,8,passed,181,6.431098710768743e-10,0.0,0.004666784089989701,0.0052826998191242685,0.0017355754370398208,0.0019654924908527453,5.353801999997813,2741
G2020,20,20,passed,181,6.431098710768743e-10,0.0,0.004607209133728708,0.0052137996755939825,0.0023648404158300943,0.002676769495258209,14.170404299977235,2741
