case_id,factor,epoch_utc,altitude_km,inclination_deg,duration_hours,model_id,role,eligible_candidate,maximum_position_difference_m,maximum_velocity_difference_mm_s,final_position_difference_m,final_velocity_difference_mm_s,maximum_radial_position_difference_m,maximum_along_track_position_difference_m,maximum_cross_track_position_difference_m,maximum_radial_velocity_difference_mm_s,maximum_along_track_velocity_difference_mm_s,maximum_cross_track_velocity_difference_mm_s,position_gate_m,velocity_gate_mm_s,position_gate_passed,velocity_gate_passed,pole_separation_from_baseline_start_arcsec,pole_separation_from_baseline_end_arcsec,runtime_seconds,eop_start_coverage_status,eop_end_coverage_status
B01_CONTROL_400KM_I51P6_JAN_24H,baseline_control,2026-01-01T00:00:00Z,400.0,51.6,24.0,iau1976_1980,closed_1b_baseline_without_polar_motion,False,3.2027017567705216,3.6150306093329787,3.2027017567705216,3.6150306093329787,0.06983547532020407,3.2023698088486543,0.1937364874821188,3.614734341508551,0.06279628925288372,0.22501570631882528,20.0,20.0,True,True,0.0,0.0,7.773287069000162,exact_source_row,exact_source_row
B01_CONTROL_400KM_I51P6_JAN_24H,baseline_control,2026-01-01T00:00:00Z,400.0,51.6,24.0,gmat_r2026a_eop_x_only,polar_motion_x_ablation,False,3.3494120390430044,3.7872490705763773,3.3494120390430044,3.7872490705763773,0.0634213956885404,3.349227935593406,0.175996243016833,3.787109101502111,0.05558470347615871,0.203673938574832,20.0,20.0,True,True,0.11052092430907205,0.10961974855838795,9.7818323649999,exact_source_row,exact_source_row
B01_CONTROL_400KM_I51P6_JAN_24H,baseline_control,2026-01-01T00:00:00Z,400.0,51.6,24.0,gmat_r2026a_eop_y_only,polar_motion_y_ablation,False,0.3431535227174073,0.3805994023839552,0.1432781933829089,0.16858774944714236,0.016104007525663874,0.3409913182074378,0.09861269482304164,0.3779645663984971,0.01644268901270676,0.11305119370088441,20.0,20.0,True,True,0.3311921682761064,0.3325727049891908,10.082549417999871,exact_source_row,exact_source_row
B01_CONTROL_400KM_I51P6_JAN_24H,baseline_control,2026-01-01T00:00:00Z,400.0,51.6,24.0,gmat_r2026a_eop_full,exact_tagged_eop_candidate,True,0.005057099951052361,0.005721088573287407,0.004013858919683119,0.004541766132773108,0.00023316685069128584,0.005057097721390288,5.4733372030641224e-05,0.00572108792202027,0.0002565414344690498,6.199744523845083e-05,20.0,20.0,True,True,0.34913275428128454,0.3501729478098454,11.545785446000082,exact_source_row,exact_source_row
B02_ALTITUDE_700KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,700.0,51.6,24.0,iau1976_1980,closed_1b_baseline_without_polar_motion,False,2.8748911226675053,3.0397376469214334,2.8748911226675053,3.0397376469214334,0.06709267839287306,2.874586422199983,0.1744770590516204,3.0394818666031718,0.056499760051581714,0.18984332630772421,20.0,20.0,True,True,0.0,0.0,7.661162813999908,exact_source_row,exact_source_row
B02_ALTITUDE_700KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,700.0,51.6,24.0,gmat_r2026a_eop_x_only,polar_motion_x_ablation,False,3.0229890190764293,3.190592814058368,3.0108977228065195,3.1898162676331085,0.06066144667982902,3.020922517530874,0.15795547873403235,3.1897014672568402,0.04991883282205055,0.17180794471695424,20.0,20.0,True,True,0.11052092430907205,0.10961974855838795,10.255585843000063,exact_source_row,exact_source_row
B02_ALTITUDE_700KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,700.0,51.6,24.0,gmat_r2026a_eop_y_only,polar_motion_y_ablation,False,0.3122286612588248,0.3249035831155931,0.13859231027457553,0.15308328195326606,0.015487038356617269,0.3100864069595906,0.08868887955432893,0.32196095647352324,0.014719786552583755,0.0951339565518015,20.0,20.0,True,True,0.3311921682761064,0.3325727049891908,10.50754782399963,exact_source_row,exact_source_row
B02_ALTITUDE_700KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,700.0,51.6,24.0,gmat_r2026a_eop_full,exact_tagged_eop_candidate,True,0.004991183189587947,0.005294449964195385,0.002113176973601568,0.0022400963675075726,0.00026383916679747365,0.004991125078534985,4.915635050002043e-05,0.005294442409989246,0.00027340810585325763,5.2570303906274156e-05,20.0,20.0,True,True,0.34913275428128454,0.3501729478098454,10.251596251999672,exact_source_row,exact_source_row
B03_ALTITUDE_1000KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,1000.0,51.6,24.0,iau1976_1980,closed_1b_baseline_without_polar_motion,False,2.615243121832473,2.5944826733061426,2.615243121832473,2.5944826733061426,0.06424718208530947,2.615064394848047,0.1574389148265254,2.5944383502418455,0.05100421743463895,0.16110456581427848,20.0,20.0,True,True,0.0,0.0,7.449613019000026,exact_source_row,exact_source_row
B03_ALTITUDE_1000KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,1000.0,51.6,24.0,gmat_r2026a_eop_x_only,polar_motion_x_ablation,False,2.7380854572339524,2.7218519979803903,2.7380854572339524,2.7218519979803903,0.05780747314798661,2.7379641750051564,0.14219851175556134,2.7218418668268693,0.04504624908548831,0.14547918763082965,20.0,20.0,True,True,0.11052092430907205,0.10961974855838795,9.98121674999993,exact_source_row,exact_source_row
