case_id,factor,epoch_utc,altitude_km,inclination_deg,duration_hours,model_id,role,eligible_candidate,maximum_position_difference_m,maximum_velocity_difference_mm_s,final_position_difference_m,final_velocity_difference_mm_s,maximum_radial_position_difference_m,maximum_along_track_position_difference_m,maximum_cross_track_position_difference_m,maximum_radial_velocity_difference_mm_s,maximum_along_track_velocity_difference_mm_s,maximum_cross_track_velocity_difference_mm_s,position_gate_m,velocity_gate_mm_s,position_gate_passed,velocity_gate_passed,pole_separation_from_baseline_start_arcsec,pole_separation_from_baseline_end_arcsec,runtime_seconds,eop_start_coverage_status,eop_end_coverage_status
B04_INCLINATION_5DEG_400KM_JAN_24H,inclination,2026-01-01T00:00:00Z,400.0,5.0,24.0,gmat_r2026a_eop_y_only,polar_motion_y_ablation,False,0.1598713995320449,0.17565218728354487,0.0310809558328084,0.03959641152721228,0.0028462635354962787,0.06396366166424412,0.15985993614428046,0.07095377793714955,0.002925420692598491,0.1756400066892754,20.0,20.0,True,True,0.3311921682761064,0.3325727049891908,42.50115840003127,exact_source_row,exact_source_row
B04_INCLINATION_5DEG_400KM_JAN_24H,inclination,2026-01-01T00:00:00Z,400.0,5.0,24.0,gmat_r2026a_eop_full,exact_tagged_eop_candidate,True,0.005148980154170368,0.00584437497378587,0.0021109703074391082,0.002393528224769877,0.0002380186860683826,0.005148734836209419,0.00010532025765303,0.005844368802337479,0.00027036916927559724,0.00011782951028916566,20.0,20.0,True,True,0.34913275428128454,0.3501729478098454,44.22760430001654,exact_source_row,exact_source_row
B05_INCLINATION_98DEG_400KM_JAN_24H,inclination,2026-01-01T00:00:00Z,400.0,98.0,24.0,iau1976_1980,closed_1b_baseline_without_polar_motion,False,4.181925201505197,4.710905153952956,4.181925201505197,4.710905153952956,0.061120936817214686,4.181673015004675,0.49680313867688053,4.7107234056875615,0.0502712794847085,0.5557002813893188,20.0,20.0,True,True,0.0,0.0,35.040405499981716,exact_source_row,exact_source_row
B05_INCLINATION_98DEG_400KM_JAN_24H,inclination,2026-01-01T00:00:00Z,400.0,98.0,24.0,gmat_r2026a_eop_x_only,polar_motion_x_ablation,False,3.881638127153735,4.37066539428272,3.881638127153735,4.37066539428272,0.0590904187511552,3.881363474607064,0.4681272251891383,4.3704553346320605,0.05049365270809866,0.525932770312165,20.0,20.0,True,True,0.11052092430907205,0.10957665056240003,44.907843800028786,exact_source_row,exact_source_row
B05_INCLINATION_98DEG_400KM_JAN_24H,inclination,2026-01-01T00:00:00Z,400.0,98.0,24.0,gmat_r2026a_eop_y_only,polar_motion_y_ablation,False,0.3146050171353373,0.35865970247208506,0.3007595406737675,0.34076885888810715,0.005187179923075648,0.31346227518604136,0.09446969788127121,0.35513186556541976,0.006173187835868808,0.10558298176952445,20.0,20.0,True,True,0.3311921682761064,0.3325727049891908,42.33446450001793,exact_source_row,exact_source_row
B05_INCLINATION_98DEG_400KM_JAN_24H,inclination,2026-01-01T00:00:00Z,400.0,98.0,24.0,gmat_r2026a_eop_full,exact_tagged_eop_candidate,True,0.005335130886850032,0.006041964765615912,0.00044074099092524264,0.0004959912936796927,0.00031834152510795964,0.005334964694974801,6.276347291495436e-05,0.006041583117966312,0.0003424136900039722,7.180832943454242e-05,20.0,20.0,True,True,0.34913275428128454,0.3501729478098454,44.78800030000275,exact_source_row,exact_source_row
B06_EPOCH_APR_400KM_I51P6_24H,epoch,2026-04-01T00:00:00Z,400.0,51.6,24.0,iau1976_1980,closed_1b_baseline_without_polar_motion,False,2.2751869125317814,2.554578270987245,1.59300270607628,1.8253631144524083,0.06389500603363527,2.2715683868426133,0.38149347540972606,2.551872504205988,0.06066670294721432,0.43724621517631007,20.0,20.0,True,True,0.0,0.0,33.66259560000617,exact_source_row,exact_source_row
B06_EPOCH_APR_400KM_I51P6_24H,epoch,2026-04-01T00:00:00Z,400.0,51.6,24.0,gmat_r2026a_eop_x_only,polar_motion_x_ablation,False,1.195197531284395,1.3290127064289952,0.458437427379356,0.5429773892931136,0.05979474464850433,1.1858941278512858,0.367810947186838,1.3166278081793195,0.061428019829259654,0.42135288162483986,20.0,20.0,True,True,0.11221743060383596,0.11293072861420253,44.322506199998315,exact_source_row,exact_source_row
B06_EPOCH_APR_400KM_I51P6_24H,epoch,2026-04-01T00:00:00Z,400.0,51.6,24.0,gmat_r2026a_eop_y_only,polar_motion_y_ablation,False,1.1399470832255538,1.2891147136170742,1.1399470832255538,1.2891147136170742,0.021378921134356778,1.1398876889944924,0.06076315928601545,1.2890698569875436,0.018818087356930604,0.07026481782376878,20.0,20.0,True,True,0.41132102950691507,0.41220432139950874,44.10536579997279,exact_source_row,exact_source_row
B06_EPOCH_APR_400KM_I51P6_24H,epoch,2026-04-01T00:00:00Z,400.0,51.6,24.0,gmat_r2026a_eop_full,exact_tagged_eop_candidate,True,0.006024826126638753,0.006836495600806213,0.0036415490211740707,0.00412022454118515,0.0003117457706034848,0.006016755302120144,4.578003949435634e-05,0.0068280385050224135,0.00033982178434908636,5.344282743301161e-05,20.0,20.0,True,True,0.4263650876555133,0.4274272953642085,42.65904739999678,exact_source_row,exact_source_row
